x	y	aper	diag	Ha	Hb	OIII	SII	NIIa	SIIa	SIIb	NII	dens_5000.0	dens_10000.0	dens_30000.0	dens_50000.0	vel
574.57672	178.35918	4.46	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	8.762004815982823e-16	2.151129030855406e-16	5.953083849970395e-16	5.164834963315515e-16	2.3006071519585923e-16	2.9716524109234666e-16	2.193182552392048e-16	3.0786075658555663e-16	83.4683825107768	95.1912234049912	70.05225445653043	62.785548240504255	159.94093712642558
616.24913	110.71866	12.066243	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' '']	5.481932230876634e-15	1.6125433901739248e-15	1.1932854418757213e-15	2.169897017349026e-15	1.1789546790481838e-15	1.2771910931973808e-15	8.927059241516452e-16	1.5776438804985017e-15	29.169078621515443	21.465841542591217	nan	nan	246.4484624702838
389.8469	75.1088	3.8893321	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.9128450162155844e-16	7.169596834263833e-17	8.224718411659712e-17	9.226279553657776e-17	3.98867195639354e-17	5.361428624152002e-17	3.8648509295057736e-17	5.337528248669068e-17	58.74815319686114	62.785548240504255	16.146768263076986	nan	137.44349582741836
698.2226	67.0972	8.8978187	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' '']	1.577735944407047e-15	4.911454313979553e-16	5.728536156566576e-16	5.3567584282036935e-16	2.9326028721469707e-16	3.1743091361009847e-16	2.1824492921027085e-16	3.9243264032085065e-16	13.55144888388915	1.0	nan	nan	139.95686519596833
675.1841	55.666	9.7491668	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.2304239226068318e-15	3.314756382232485e-16	5.70077721912055e-16	6.165623906326479e-16	2.919420635669111e-16	3.646650884847909e-16	2.5189730214785703e-16	3.906686306366643e-16	17.625260839407403	6.7233575364993365	nan	nan	138.1670288566051
986.6986	49.924	2.7	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	6.820882259980557e-16	1.9468587223290978e-16	2.0396383802522296e-16	3.8054502220951104e-16	1.8415578538377332e-16	2.2101550178519293e-16	1.5952952042431816e-16	2.464320749832924e-16	60.09449923536018	65.59710319611352	19.665182383298276	nan	116.13251070135652
971.2775	56.5092	3.7706615	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.211283626411433e-15	5.533050954686306e-16	4.968462563633857e-16	2.69058591957084e-15	6.80205177519888e-16	1.4959062530592793e-15	1.194679666511561e-15	9.10231372646166e-16	171.96260170078793	219.30846432559773	272.3931581773022	324.56080816314216	91.42905511222307
864.4896	53.0863	7.6564016	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' '']	7.910217932856646e-16	2.308165081779484e-16	1.9511580820105947e-16	3.083981330612757e-16	1.531409585035463e-16	1.8150329806400472e-16	1.2689483499727095e-16	2.0492890891433546e-16	29.169078621515443	21.465841542591217	nan	nan	134.06958901391215
530.168	31.9019	4.4565444	['' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.5670414268158216e-15	4.749542237288793e-16	1.661659145040654e-15	2.7341493216451924e-16	2.473702989228289e-16	1.5870021436192222e-16	1.1471471780259704e-16	3.310239530392806e-16	61.56462747162732	67.04974743148651	23.95026619987486	1.0	174.45064923319927
643.9372	28.5124	3.857	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.2623536963185432e-17	7.105906559381974e-18	6.270361474956689e-18	1.4648506834136832e-17	3.499223763918544e-18	7.499986012500667e-18	7.148520821636166e-18	4.6825624901018e-18	438.7071887566721	586.3179291686442	857.2857195231002	1091.6689114384876	309.4269742195373
594.8268	25.8376	3.2147153	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.7513833828711641e-16	4.424591453084556e-17	1.5854792251063336e-16	4.339645509616819e-17	2.685049148512635e-17	2.6292523983852724e-17	1.7103931112315466e-17	3.5930569963966733e-17	nan	nan	nan	nan	204.0655774392423
705.2496	22.9285	2.404	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.641406612170387e-17	1.0406660312504081e-17	4.539768453835877e-18	1.829762228975339e-17	6.941530746017388e-18	1.055192948745839e-17	7.745692802294998e-18	9.288960549007631e-18	76.46664874780345	87.20612074929505	57.518791179702525	45.20353656360243	103.47690087302519
184.1164	17.6769	4.69	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	4.876006470341104e-16	1.3637984796398588e-16	1.896495040490665e-16	2.509699175638377e-16	1.2870914854269692e-16	1.4804576500883343e-16	1.0292415255500428e-16	1.7223495030911153e-16	23.95026619987486	14.792298832740345	nan	nan	126.94341864410666
334.0711	17.0304	2.993	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	2.345879068847338e-16	7.445301518437736e-17	3.190205681282072e-16	6.751826993786811e-17	3.6111356419139955e-17	4.142515319288299e-17	2.6093116744985118e-17	4.832319806996419e-17	nan	nan	nan	nan	291.72178434413837
237.4113	14.7955	5.128	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.1407652018333705e-16	3.71459989336006e-17	1.3710821697177248e-17	8.569623760877664e-17	2.3582058018291545e-17	5.642872200191708e-17	2.926751560685956e-17	3.1556844536343505e-17	nan	nan	nan	nan	148.90641283762645
959.0549	15.9368	5.3468539	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	9.192110945953751e-17	3.0326061576324256e-17	3.0638980093092565e-17	4.5256257849123475e-17	2.5513125085936272e-17	2.5713484084221727e-17	1.9542773764901748e-17	3.414094399007439e-17	113.42186641212268	138.13672512715183	141.51604773835354	157.53754255768436	119.2447245698639
658.8727	12.044	3.35	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	5.304193521793557e-17	8.441788730144244e-18	1.5132914489433914e-17	2.33494551759988e-17	1.1189586874521773e-17	1.2952127353562737e-17	1.0397327822436063e-17	1.4973589376775483e-17	179.66313659361543	228.09316092783988	284.5910023501971	342.69934990193224	126.89955841132445
202.286	25.407	3.367	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' '']	3.969646394373043e-17	1.3290550608238045e-17	1.3911278581205674e-17	1.550324892151377e-17	8.028480510056874e-18	1.1746711942413811e-17	3.7565369790999604e-18	1.0743486048690646e-17	nan	nan	nan	nan	132.9675409550972
