#OIII_Hb SII_Ha NII_Ha_both V
0.476513 -0.455513 -0.40662 300.0
0.425534 -0.460962 -0.389322 325.0
0.331306 -0.589912 -0.437943 350.0
0.254185 -0.66041 -0.487952 375.0
0.297629 -0.699703 -0.482902 400.0
0.398374 -0.803177 -0.538317 425.0
0.440358 -0.888577 -0.661734 450.0
0.557134 -0.855232 -0.709465 475.0
0.493932 -0.675961 -0.740497 500.0
0.492132 -0.51294 -0.697722 525.0
0.466942 -0.366159 -0.623218 550.0
0.52217 -0.268096 -0.554889 575.0
0.591565 -0.210801 -0.513454 600.0
0.655283 -0.15299 -0.473403 625.0
0.749914 -0.140303 -0.468043 650.0
0.820825 -0.141551 -0.472599 675.0
0.882479 -0.109804 -0.454884 700.0
0.928585 -0.110459 -0.461945 725.0
0.985355 -0.107432 -0.466128 750.0
1.02747 -0.115187 -0.472492 775.0
1.05342 -0.113199 -0.473977 800.0
1.07577 -0.119834 -0.485261 825.0
1.0951 -0.139501 -0.501263 850.0
1.1036 -0.133246 -0.500561 875.0
1.1112 -0.130601 -0.500195 900.0
1.11568 -0.127432 -0.501569 925.0
1.11846 -0.113025 -0.499379 950.0
1.12113 -0.109198 -0.503277 975.0
1.12639 -0.106471 -0.509732 1000.0
0.472888 -0.459422 -0.410108 300.0
0.417156 -0.469764 -0.398412 325.0
0.297651 -0.623091 -0.47488 350.0
0.105953 -0.815122 -0.654337 375.0
0.0534626 -0.922875 -0.730232 400.0
0.115278 -0.922663 -0.768673 425.0
0.206259 -0.790763 -0.771824 450.0
0.376632 -0.669252 -0.734426 475.0
0.386392 -0.432625 -0.623706 500.0
0.425925 -0.289319 -0.527511 525.0
0.429881 -0.18533 -0.443811 550.0
0.496196 -0.110436 -0.378288 575.0
0.572337 -0.0687719 -0.33466 600.0
0.641613 -0.0289687 -0.29689 625.0
0.734448 -0.0197468 -0.285215 650.0
0.807183 -0.0184023 -0.27767 675.0
0.86858 0.00989278 -0.25573 700.0
0.914327 0.01567 -0.250524 725.0
0.972254 0.0183777 -0.2455 750.0
1.01481 0.0179521 -0.242523 775.0
1.04056 0.0198517 -0.23855 800.0
1.06145 0.0208708 -0.237398 825.0
1.07878 0.0113624 -0.243369 850.0
1.08696 0.0159642 -0.237198 875.0
1.09304 0.0246507 -0.231366 900.0
1.09625 0.0288061 -0.228488 925.0
1.09826 0.0426082 -0.220937 950.0
1.09947 0.0483224 -0.218893 975.0
1.10326 0.0538103 -0.21789 1000.0
0.439822 -0.487353 -0.436096 300.0
0.338516 -0.5405 -0.472528 325.0
0.0938068 -0.783822 -0.673321 350.0
-0.0336517 -0.796587 -0.725645 375.0
-0.0251246 -0.668759 -0.644187 400.0
0.0742311 -0.531402 -0.543819 425.0
0.174932 -0.424974 -0.474911 450.0
0.343743 -0.325497 -0.408722 475.0
0.369197 -0.187302 -0.290533 500.0
0.415224 -0.115419 -0.2256 525.0
0.423655 -0.0639661 -0.169293 550.0
0.492718 -0.0274052 -0.124237 575.0
0.56799 -0.0129121 -0.0966093 600.0
0.639586 0.00257062 -0.07295 625.0
0.731194 0.00604187 -0.0600226 650.0
0.802781 0.0101815 -0.0512063 675.0
0.864814 0.0205795 -0.0362981 700.0
0.909839 0.0165253 -0.0341159 725.0
0.963816 0.0143755 -0.031842 750.0
1.00582 0.00986892 -0.0315383 775.0
1.02857 0.00665773 -0.0305359 800.0
1.04517 0.00269854 -0.0316411 825.0
1.05831 0.00289869 -0.0331522 850.0
1.06345 0.00648158 -0.0305301 875.0
1.06822 0.0118948 -0.025282 900.0
1.06882 0.0171379 -0.0239665 925.0
1.06982 0.0265629 -0.0186104 950.0
1.06934 0.0319689 -0.0168135 975.0
1.07144 0.0365423 -0.014802 1000.0
0.41044 -0.509175 -0.454084 300.0
0.277907 -0.584417 -0.518568 325.0
0.0593362 -0.695014 -0.637566 350.0
-0.0452463 -0.673149 -0.648438 375.0
-0.0288959 -0.535358 -0.530339 400.0
0.0730582 -0.444192 -0.422501 425.0
0.174467 -0.365552 -0.353241 450.0
0.341058 -0.273873 -0.28588 475.0
0.371012 -0.171419 -0.187133 500.0
0.421044 -0.114496 -0.132028 525.0
0.435095 -0.0796878 -0.0886206 550.0
0.505828 -0.0583294 -0.0540567 575.0
0.581335 -0.0531227 -0.032871 600.0
0.654263 -0.0467364 -0.0152357 625.0
0.743392 -0.0481852 -0.00486234 650.0
0.811756 -0.0461507 0.00172057 675.0
0.872215 -0.0428392 0.0113901 700.0
0.914571 -0.0512417 0.00990684 725.0
0.964524 -0.0544943 0.00803046 750.0
1.00458 -0.0557309 0.00638334 775.0
1.02518 -0.0538913 0.00810693 800.0
1.04072 -0.0513687 0.00563855 825.0
1.05077 -0.0458247 0.00731177 850.0
1.05423 -0.0395408 0.00855429 875.0
1.05888 -0.0358639 0.0134214 900.0
1.05835 -0.0287619 0.0143289 925.0
1.05854 -0.0205996 0.0182088 950.0
1.05721 -0.0149874 0.0199655 975.0
1.0585 -0.0105907 0.0214658 1000.0
0.38032 -0.521996 -0.459447 300.0
0.243112 -0.577234 -0.512595 325.0
0.0579702 -0.601896 -0.560103 350.0
-0.0355565 -0.563996 -0.547895 375.0
-0.0216505 -0.462884 -0.428385 400.0
0.0791812 -0.422152 -0.327314 425.0
0.185004 -0.363219 -0.261005 450.0
0.348928 -0.281393 -0.197804 475.0
0.390352 -0.205664 -0.115 500.0
0.446289 -0.165862 -0.0723934 525.0
0.47796 -0.146518 -0.0433198 550.0
0.547885 -0.132952 -0.0181579 575.0
0.624561 -0.135293 -0.00461784 600.0
0.694544 -0.139289 0.0048018 625.0
0.776846 -0.14349 0.0129471 650.0
0.839491 -0.141518 0.0171522 675.0
0.897358 -0.13871 0.0218984 700.0
0.936639 -0.141598 0.0211447 725.0
0.983563 -0.132516 0.0178155 750.0
1.02011 -0.123144 0.0159202 775.0
1.03814 -0.114395 0.0166266 800.0
1.05019 -0.102579 0.0166639 825.0
1.05877 -0.0917452 0.0205677 850.0
1.06141 -0.0791695 0.021654 875.0
1.06539 -0.0749016 0.025552 900.0
1.06565 -0.0627443 0.0277696 925.0
1.06707 -0.0502982 0.0327503 950.0
1.06614 -0.0408782 0.0350784 975.0
1.06752 -0.0328796 0.037791 1000.0
0.363706 -0.517793 -0.441969 300.0
0.238247 -0.532621 -0.464437 325.0
0.0702226 -0.534593 -0.481316 350.0
-0.0171998 -0.499809 -0.462522 375.0
-0.00101309 -0.445902 -0.349959 400.0
0.102811 -0.450762 -0.256304 425.0
0.220683 -0.410174 -0.197467 450.0
0.386624 -0.339955 -0.141493 475.0
0.446257 -0.289506 -0.0799762 500.0
0.516813 -0.265082 -0.0517718 525.0
0.576514 -0.248472 -0.0350783 550.0
0.647422 -0.251583 -0.0291731 575.0
0.719099 -0.256634 -0.0239391 600.0
0.782888 -0.26135 -0.0206979 625.0
0.853412 -0.260318 -0.0139895 650.0
0.907239 -0.252743 -0.0125191 675.0
0.959947 -0.239068 -0.00976153 700.0
0.994124 -0.235159 -0.0108095 725.0
1.03683 -0.205851 -0.011416 750.0
1.06718 -0.179703 -0.0105389 775.0
1.08311 -0.16172 -0.00755262 800.0
1.09346 -0.137644 -0.00373844 825.0
1.10151 -0.11806 0.00248257 850.0
1.10459 -0.0931327 0.00816414 875.0
1.10826 -0.0828639 0.0126959 900.0
1.1085 -0.0660778 0.0174363 925.0
1.11103 -0.0547225 0.0248997 950.0
1.11123 -0.0426546 0.0293808 975.0
1.11351 -0.0335347 0.0336227 1000.0
0.363744 -0.510093 -0.429218 300.0
0.239725 -0.519194 -0.446178 325.0
0.0758024 -0.520337 -0.458254 350.0
-0.00858784 -0.48847 -0.438509 375.0
0.010512 -0.451545 -0.330711 400.0
0.115644 -0.470988 -0.240265 425.0
0.240549 -0.434818 -0.184324 450.0
0.40863 -0.369625 -0.131935 475.0
0.477179 -0.325207 -0.0769351 500.0
0.553786 -0.305106 -0.0546282 525.0
0.616276 -0.290194 -0.0437228 550.0
0.687939 -0.293099 -0.0427631 575.0
0.757495 -0.297519 -0.0415741 600.0
0.81746 -0.301533 -0.0395135 625.0
0.884631 -0.298644 -0.0338972 650.0
0.936494 -0.287138 -0.0329023 675.0
0.98709 -0.26886 -0.0303125 700.0
1.01903 -0.259851 -0.0299175 725.0
1.05915 -0.226523 -0.0295004 750.0
1.08736 -0.194717 -0.0257343 775.0
1.10332 -0.172707 -0.0209251 800.0
1.11271 -0.145261 -0.0149948 825.0
1.11959 -0.12385 -0.00796729 850.0
1.12274 -0.0971781 -0.00229708 875.0
1.12655 -0.0875003 0.00159407 900.0
1.12788 -0.0699747 0.00736012 925.0
1.13207 -0.0585128 0.0160243 950.0
1.13255 -0.0456784 0.0208438 975.0
1.13548 -0.0365275 0.0256204 1000.0
0.370772 -0.488888 -0.38127 300.0
0.259809 -0.488198 -0.383033 325.0
0.118529 -0.501921 -0.393069 350.0
0.0364293 -0.48533 -0.383605 375.0
0.072544 -0.493567 -0.289955 400.0
0.192623 -0.550054 -0.208932 425.0
0.342403 -0.537635 -0.171615 450.0
0.521831 -0.484227 -0.13309 475.0
0.613673 -0.457787 -0.105248 500.0
0.695175 -0.442107 -0.102006 525.0
0.747249 -0.431241 -0.108812 550.0
0.819109 -0.428194 -0.121092 575.0
0.869331 -0.428257 -0.128656 600.0
0.924935 -0.424986 -0.132122 625.0
0.981592 -0.413757 -0.126177 650.0
1.02399 -0.384999 -0.120329 675.0
1.06837 -0.349969 -0.112467 700.0
1.09545 -0.327986 -0.1066 725.0
1.1312 -0.283072 -0.0978702 750.0
1.15631 -0.237323 -0.0850677 775.0
1.17176 -0.207938 -0.0752262 800.0
1.18101 -0.174584 -0.066179 825.0
1.18924 -0.150413 -0.0565491 850.0
1.1929 -0.123429 -0.0506333 875.0
1.19929 -0.109658 -0.0436132 900.0
1.20148 -0.0947086 -0.0377013 925.0
1.20472 -0.0917269 -0.0334708 950.0
1.2075 -0.0780035 -0.0243138 975.0
1.21053 -0.0701276 -0.0195647 1000.0
0.759736 -0.99143 -0.547138 500.0
0.903313 -1.06549 -0.596319 525.0
1.01549 -1.03447 -0.601193 550.0
1.0445 -0.992863 -0.607678 575.0
1.01799 -0.951493 -0.635459 600.0
1.0404 -0.923717 -0.638353 625.0
1.09806 -0.884278 -0.627037 650.0
1.16364 -0.821781 -0.607498 675.0
1.22222 -0.752653 -0.57626 700.0
1.26996 -0.676495 -0.534419 725.0
1.30752 -0.635156 -0.487108 750.0
1.34031 -0.593637 -0.459793 775.0
1.36668 -0.559512 -0.413701 800.0
1.38072 -0.529122 -0.387084 825.0
1.3897 -0.501003 -0.361896 850.0
1.3947 -0.467651 -0.334477 875.0
1.39874 -0.450347 -0.318135 900.0
1.39058 -0.435255 -0.306331 925.0
1.39168 -0.421353 -0.297668 950.0
1.38828 -0.414493 -0.287644 975.0
1.38331 -0.399336 -0.2806 1000.0
0.459995 -0.456502 -0.415669 100.0
0.405381 -0.463745 -0.401856 125.0
0.298154 -0.602397 -0.465617 150.0
0.18769 -0.692249 -0.545291 175.0
0.188591 -0.748345 -0.57432 200.0
0.215214 -0.766707 -0.657716 225.0
0.285805 -0.664663 -0.6895 250.0
0.441758 -0.575365 -0.676517 275.0
0.441302 -0.380358 -0.600659 300.0
0.471218 -0.257686 -0.528917 325.0
0.464251 -0.16152 -0.46022 350.0
0.521726 -0.0945251 -0.408245 375.0
0.592643 -0.0548896 -0.374646 400.0
0.656319 -0.0142736 -0.344337 425.0
0.749017 -0.003806 -0.339186 450.0
0.820996 -0.00110498 -0.337559 475.0
0.881562 0.0287148 -0.323174 500.0
0.927709 0.0385283 -0.321332 525.0
0.983653 0.0408249 -0.323856 550.0
1.02567 0.0410898 -0.3264 575.0
1.05069 0.0438233 -0.327796 600.0
1.07126 0.0419399 -0.335736 625.0
1.08966 0.0300612 -0.347543 650.0
1.09694 0.036857 -0.347346 675.0
1.10476 0.0396936 -0.347929 700.0
1.10853 0.0447531 -0.348502 725.0
1.11167 0.0573082 -0.34695 750.0
1.11338 0.0623625 -0.350933 775.0
1.11787 0.0664514 -0.355872 800.0
1.11929 0.0706001 -0.360523 825.0
1.11528 0.0841423 -0.35538 850.0
1.10639 0.0916079 -0.3562 875.0
1.09954 0.102111 -0.355895 900.0
1.10612 0.10011 -0.36073 925.0
1.10442 0.107321 -0.361616 950.0
1.10302 0.113104 -0.365955 975.0
1.10082 0.117997 -0.366762 1000.0
0.403841 -0.465593 -0.403549 125.0
0.286187 -0.612879 -0.477191 150.0
0.156791 -0.723364 -0.58001 175.0
0.105442 -0.822398 -0.65841 200.0
0.145196 -0.796347 -0.714176 225.0
0.226883 -0.675556 -0.724785 250.0
0.391694 -0.576029 -0.700143 275.0
0.397749 -0.373626 -0.609812 300.0
0.427324 -0.240493 -0.529281 325.0
0.430107 -0.138064 -0.451876 350.0
0.496847 -0.0660311 -0.393263 375.0
0.572302 -0.0253047 -0.354209 400.0
0.640521 0.0153656 -0.319761 425.0
0.734488 0.0254672 -0.3115 450.0
0.806662 0.0272084 -0.307718 475.0
0.868268 0.0565436 -0.290866 500.0
0.914068 0.0652049 -0.28791 525.0
0.972207 0.0674023 -0.287193 550.0
1.01528 0.0690332 -0.285092 575.0
1.04143 0.0716268 -0.283673 600.0
1.06285 0.071683 -0.287068 625.0
1.0811 0.0633482 -0.294321 650.0
1.08877 0.0689359 -0.2922 675.0
1.09663 0.0742906 -0.288148 700.0
1.09982 0.0790024 -0.286905 725.0
1.10243 0.0929985 -0.282406 750.0
1.10387 0.0989115 -0.282795 775.0
1.10768 0.10459 -0.284499 800.0
1.10823 0.110197 -0.286666 825.0
1.10377 0.122927 -0.27937 850.0
1.0943 0.131357 -0.277717 875.0
1.08707 0.142842 -0.274711 900.0
1.09311 0.140205 -0.277249 925.0
1.09167 0.147148 -0.276182 950.0
1.08991 0.153756 -0.277192 975.0
1.08767 0.159113 -0.274718 1000.0
0.451971 -0.463566 -0.422996 100.0
0.378234 -0.492178 -0.430432 125.0
0.146066 -0.755671 -0.634141 150.0
-0.0118425 -0.84801 -0.746291 175.0
-0.0121952 -0.776266 -0.719294 200.0
0.0818152 -0.62109 -0.658251 225.0
0.181786 -0.488228 -0.60759 250.0
0.354435 -0.387839 -0.553567 275.0
0.373611 -0.213114 -0.43501 300.0
0.416324 -0.125937 -0.359308 325.0
0.422508 -0.0533556 -0.291558 350.0
0.490464 -0.000686793 -0.238503 375.0
0.566261 0.0275806 -0.202254 400.0
0.634003 0.0536188 -0.173919 425.0
0.729537 0.0627348 -0.159203 450.0
0.801753 0.0662882 -0.149095 475.0
0.863025 0.0896447 -0.12916 500.0
0.909107 0.0924558 -0.124009 525.0
0.965724 0.0937655 -0.119533 550.0
1.00822 0.0931037 -0.116276 575.0
1.03411 0.0930757 -0.112795 600.0
1.05296 0.0926754 -0.112408 625.0
1.06915 0.084874 -0.117042 650.0
1.07613 0.087934 -0.112499 675.0
1.08095 0.0945654 -0.108258 700.0
1.0825 0.0978729 -0.106824 725.0
1.08382 0.108794 -0.101684 750.0
1.08447 0.114472 -0.100124 775.0
1.08675 0.119357 -0.0996437 800.0
1.08672 0.126074 -0.0978096 825.0
1.0821 0.137158 -0.0890391 850.0
1.0721 0.144724 -0.0849019 875.0
1.06517 0.155458 -0.0791783 900.0
1.06982 0.15093 -0.0814932 925.0
1.06759 0.156213 -0.078977 950.0
1.06453 0.160589 -0.0773785 975.0
1.06081 0.163203 -0.0753434 1000.0
0.438922 -0.475591 -0.433532 100.0
0.339968 -0.528264 -0.468147 125.0
0.0940866 -0.775696 -0.673753 150.0
-0.0363066 -0.779138 -0.727756 175.0
-0.0273483 -0.650583 -0.655573 200.0
0.0735351 -0.504598 -0.560819 225.0
0.174961 -0.394072 -0.494777 250.0
0.345452 -0.303914 -0.43715 275.0
0.369272 -0.158319 -0.318946 300.0
0.413518 -0.0857182 -0.253441 325.0
0.4205 -0.0300738 -0.195319 350.0
0.48941 0.0105369 -0.148423 375.0
0.564607 0.0290931 -0.118379 400.0
0.634749 0.0486369 -0.0922723 425.0
0.729011 0.0543324 -0.0785474 450.0
0.799699 0.0592324 -0.0688674 475.0
0.862388 0.0729568 -0.0526449 500.0
0.907675 0.071666 -0.0490371 525.0
0.96289 0.0705573 -0.0460485 550.0
1.00505 0.0672502 -0.0444601 575.0
1.02959 0.0655256 -0.0421386 600.0
1.04587 0.063946 -0.0426324 625.0
1.06043 0.0582231 -0.0464123 650.0
1.06595 0.0611755 -0.0439357 675.0
1.07 0.0659422 -0.039924 700.0
1.07133 0.0710848 -0.0384173 725.0
1.07243 0.080902 -0.0336292 750.0
1.07203 0.0864991 -0.0322186 775.0
1.07401 0.091383 -0.0311011 800.0
1.07295 0.0971298 -0.0293272 825.0
1.06767 0.105165 -0.0222818 850.0
1.05843 0.111086 -0.0175588 875.0
1.0491 0.117721 -0.0134871 900.0
1.053 0.113288 -0.0166326 925.0
1.04949 0.116484 -0.0152197 950.0
1.04481 0.119015 -0.0140459 975.0
1.0389 0.119555 -0.0136747 1000.0
0.41479 -0.496746 -0.451899 100.0
0.285625 -0.574111 -0.515363 125.0
0.0608489 -0.72861 -0.66395 150.0
-0.0489638 -0.678539 -0.668472 175.0
-0.032031 -0.53383 -0.55891 200.0
0.0701118 -0.425763 -0.45341 225.0
0.171609 -0.340722 -0.385617 250.0
0.339014 -0.251443 -0.322619 275.0
0.366927 -0.138533 -0.217947 300.0
0.413803 -0.0784409 -0.161867 325.0
0.424637 -0.0372321 -0.113153 350.0
