x	y	aper	diag	Ha	Hb	OIII	SII	NIIa	SIIa	SIIb	NII	dens_5000.0	dens_10000.0	dens_30000.0	dens_50000.0	vel
636.41678	69.635911	3.947	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.69873854741179e-16	4.813134987649473e-17	4.032334092047666e-17	8.128735114275635e-17	4.923769239370127e-17	4.8951995168466254e-17	3.2335355974290097e-17	6.588849043586999e-17	nan	nan	nan	nan	112.02360141068218
545.3566	106.4079	2.786	['SII-NII' '' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	4.839583998702721e-17	1.3940977567377076e-17	7.582392692363315e-18	2.5651138759766135e-17	2.0004118414300254e-17	1.4957848637693687e-17	1.0693290122072449e-17	2.6768946730477635e-17	50.435326829649455	50.435326829649455	nan	nan	94.36204375516446
541.4779	130.633	2.7	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	2.233655494278662e-16	6.429188296189302e-17	8.634943149322983e-17	8.310237108659906e-17	6.083082849656075e-17	4.87659806510851e-17	3.433639043551397e-17	8.140209800153876e-17	35.52508103782977	30.475278373642023	nan	nan	125.07739436909945
714.06583	119.67388	7.3952552	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.2039641888798673e-16	2.6247342841687677e-17	2.9240145969890456e-17	6.327137355850725e-17	4.72045300513028e-17	3.903924873600196e-17	2.4232124822505283e-17	6.316776996667047e-17	nan	nan	nan	nan	98.62815798041689
683.2315	132.9941	5.8176366	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.0350270275567116e-16	7.15509906587658e-17	1.2095220873131696e-16	1.3772276082697826e-16	1.0723355977857102e-16	7.941047675599631e-17	5.831228407098194e-17	1.4349692348251719e-16	77.5133234783777	88.66726976869896	57.518791179702525	45.20353656360243	126.52349040109068
450.4488	176.1362	2.126	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	4.060312739236395e-17	1.0387228056157555e-17	1.461086829720735e-17	2.362292066490512e-17	1.626468609724369e-17	1.4757574995950115e-17	8.865345668955006e-18	2.1764943933435843e-17	nan	nan	nan	nan	102.64714252006998
634.94761	178.98995	4.3666315	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.2240724414596415e-16	4.997949414408961e-17	7.971043923235539e-17	2.198010860266095e-16	1.5299446229594876e-16	1.2610608206111391e-16	9.36950039654956e-17	2.047328718235636e-16	89.88094647894674	105.64847122561194	85.31678524172806	85.31678524172806	107.82018335601836
594.4492	182.8064	4.29	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.5801482776295426e-16	4.548593559057365e-17	7.39583402154152e-17	4.705630183843524e-17	5.470066374513859e-17	2.6931077711000242e-17	2.0125224127434993e-17	7.319888452912882e-17	95.1912234049912	113.42186641212268	99.45391383925511	99.45391383925511	139.5757999777025
769.528	249.543	5.3955651	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	7.138332511905737e-16	2.0235579510518619e-16	3.8094637545866e-16	1.7878128934835727e-16	2.217508350056721e-16	1.0933089075905299e-16	6.945039858930428e-17	2.967407094262302e-16	nan	nan	nan	nan	146.1991794030119
572.3183	235.218	5.1667617	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.043326567562279e-17	6.41343308931694e-18	4.2555554164370324e-17	2.5008706687654934e-17	2.10024814122757e-17	1.6771225268508186e-17	8.237481419146748e-18	2.810492791980012e-17	nan	nan	nan	nan	179.80037734874784
483.2726	241.2137	3.033	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.392429120567656e-17	2.4383840203354472e-18	1.5943718460841028e-17	5.1556023310749606e-18	8.000137622238045e-18	3.9136391571262464e-18	1.2419631739487135e-18	1.0705558396069484e-17	nan	nan	nan	nan	167.56102228963854
462.6644	270.0042	9.4108953	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.6078640062106149e-15	3.3097673668268355e-16	3.40411861514558e-16	8.864535711770918e-16	8.044702769395281e-16	5.137944733620011e-16	3.7265909781509056e-16	1.076519421833272e-15	64.17593074632362	70.05225445653043	30.475278373642023	12.689610031679221	101.19055494848088
521.0524	286.0605	8.9945212	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.226494052980476e-15	2.9939873134402376e-16	3.054488434887581e-16	6.360303997499529e-16	5.42055977516674e-16	3.6887201545159693e-16	2.6715838429835593e-16	7.253640118780711e-16	62.785548240504255	70.05225445653043	26.722234481547595	6.7233575364993365	98.4772233452852
817.64338	333.19203	9.5602919	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	4.808646097034864e-16	1.0495693353987097e-16	7.876140666852152e-17	4.264209112564065e-16	3.245986830758507e-16	2.517670115214874e-16	1.7465389973491917e-16	4.3436879726871916e-16	21.465841542591217	12.689610031679221	nan	nan	101.86968050350217
650.2159	321.3934	2.17	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.571952647397209e-17	7.987165915510938e-18	4.266974042935678e-17	4.1394012295483094e-17	4.70868977101479e-17	2.2237613797916074e-17	1.915639849756702e-17	6.301035768741174e-17	272.3931581773022	358.04552561437515	492.0772576519597	617.2176154211986	nan
422.5046	375.6045	6.3087794	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	9.247285766409026e-17	2.301450778261962e-17	4.8328329086375424e-17	6.753036886810078e-17	4.5203911581429954e-17	3.8173799150933353e-17	2.935656971716743e-17	6.049059878927175e-17	127.89437661791163	157.53754255768436	171.96260170078793	196.1141445827077	97.07874134930115
475.7201	371.61984	8.2375884	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.9284040994645448e-16	6.308373402841762e-17	6.646431510285565e-17	5.2089929021483485e-17	7.055002811343796e-17	2.9719851411020114e-17	2.2370077610463365e-17	9.440805664558862e-17	103.90748878039275	124.84033175404194	118.50093029739635	126.5491449784114	137.91575993465253
610.5743	425.8495	2.924	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	1.0004684465748312e-16	2.252260908397e-17	3.9425860932858774e-17	2.4991972525310152e-17	3.259351325240768e-17	1.5217336392950208e-17	9.774636132359942e-18	4.361571962047086e-17	nan	nan	nan	nan	138.4614003484689
622.6928	426.2131	3.266	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	5.3066330067499765e-17	1.421700761259687e-17	3.272645405095435e-17	2.765983709165698e-17	2.8841008527595903e-17	1.5115631851117354e-17	1.2544205240539625e-17	3.8594223696284396e-17	221.3051877309812	286.74861740222406	380.346644491721	470.98635294908297	125.52443566938018
275.46512	419.12418	3.6484677	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	5.172438770771316e-17	1.5261453004408433e-17	4.3617535825671356e-17	1.4288587556122195e-17	1.2966413918036178e-17	8.966922367706051e-18	5.3216651884161455e-18	1.7351289182986763e-17	nan	nan	nan	nan	167.87728744179216
253.1303	412.8882	3.5411428	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.6306690038903888e-17	5.276450254303609e-18	3.504321732502819e-18	1.9195154051873828e-17	1.3495463149071683e-17	1.0433602132748047e-17	8.761551919125781e-18	1.8059247933784077e-17	237.0506316556848	308.3123620858656	415.1734086559847	514.1126191493918	115.58312548887386
552.5455	1038.7083	4.1859831	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.9576793777118538e-16	3.3631795832465994e-17	8.63354555797287e-17	2.596086911962607e-16	3.075761090866925e-16	1.0513728835633497e-16	1.544714028399257e-16	4.115896691465001e-16	2088.609806204046	2806.156277938095	4270.602549051319	5475.284101172104	nan
706.6195	1038.0327	4.4956491	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	6.692890442211264e-17	2.1741749717822786e-17	1.0832848551177879e-16	9.182470301227352e-17	8.633733386626787e-17	5.255817383127091e-17	3.926652918100261e-17	1.1553418367416879e-16	95.1912234049912	113.42186641212268	99.45391383925511	99.45391383925511	190.8411813419342
610.5358	1032.0377	5.4398269	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.7725146909860267e-16	4.953361518728668e-17	5.2846406780103156e-17	1.49882766181162e-16	1.3113179643921e-16	8.941909583713306e-17	6.046367034402894e-17	1.7547686935524667e-16	nan	nan	nan	nan	126.0107102200676
672.1722	1003.2245	5.7049936	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	7.595023811713e-17	1.5012885107335278e-17	6.783245016563173e-17	6.545957889658404e-17	7.101941036427586e-17	3.840652545235045e-17	2.7053053444233595e-17	9.503617072733337e-17	35.52508103782977	31.83997012733622	nan	nan	154.77837381008385
397.8561	963.0966	6.1412113	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	3.899820859552395e-16	1.1017109713726969e-16	1.186424871272352e-16	1.2586678183811777e-16	1.8022587035972841e-16	7.984250238057721e-17	4.6024279457540556e-17	2.4117317360332665e-16	nan	nan	nan	nan	136.65946492627637
414.7744	962.8156	3.8906429	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	5.877272686409087e-17	1.0498270263355688e-17	7.437091936791553e-17	1.095781911724339e-16	1.0111386958506632e-16	6.597889314941277e-17	4.359929802302113e-17	1.353077267679124e-16	nan	nan	nan	nan	nan
298.7769	954.4622	4.661992	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	8.076367009710047e-17	2.4927202017459994e-17	2.7974045828008375e-17	2.1983551792533067e-17	2.3426575947941335e-17	1.0619411466377137e-17	1.136414032615593e-17	3.134878281762393e-17	687.0948412617159	921.7543490293314	1396.446803453439	1787.6638854629055	135.1148925433081
662.32984	953.88673	4.8623783	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	3.28180699013382e-17	3.347541609219406e-18	3.202323302673455e-17	3.4687554458632616e-17	4.258310819313643e-17	2.168850393524188e-17	1.2999050523390737e-17	5.698351365613573e-17	nan	nan	nan	nan	nan
606.2657	953.4293	4.7963306	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.363914085237855e-17	8.916299543846712e-18	6.384107873628476e-17	1.471456135063436e-17	1.8337656918988256e-16	7.031216014512474e-18	7.683345336121888e-18	2.453893498627054e-16	739.8817707463198	994.0697729870295	1511.7018785928726	1939.597757360439	nan
385.5314	948.5134	8.0475611	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	4.0925239794295147e-16	1.3408309621307883e-16	3.252469161621239e-16	1.2579525137951007e-16	2.1288126854134833e-16	7.460290585196094e-17	5.119234552754911e-17	2.8487170588962913e-16	12.689610031679221	nan	nan	nan	157.10148242885924
300.24098	933.66952	6.2313501	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.9777603861002862e-16	5.779029456035019e-17	1.5629946934861602e-16	1.3531779672119394e-16	8.715882565051896e-17	7.633353343621023e-17	5.898426328498371e-17	1.1663348079672641e-16	132.2160521833825	164.59211914234524	183.2261315125698	209.9086925424097	141.1762966144027
483.3159	935.7496	3.0478649	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	6.584397902693734e-17	1.7625224669624997e-17	2.4666863635816328e-17	7.963804881029155e-17	7.171216626930793e-17	4.7622806503263286e-17	3.2015242307028267e-17	9.596319712934516e-17	nan	nan	nan	nan	130.94539945574547
780.6267	935.3909	3.9452556	['SII-NII' 'NII-OIII' '' 'NII-SII-OIII' '']	2.318744864926154e-17	1.1508285226496007e-17	7.698842078971917e-18	6.759236417542952e-18	1.679701109473784e-17	4.532053379471285e-18	2.2271830380716662e-18	2.247728622246348e-17	nan	nan	nan	nan	nan
639.3457	934.6457	3.8479846	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' '']	3.586281023310229e-17	1.0175506502628673e-17	9.508240643579374e-18	1.2756981883515338e-17	2.3291798739993313e-17	6.507734348885874e-18	6.249247534629464e-18	3.116842776146389e-17	450.7994247138622	602.4788103375432	888.935790893334	1131.9721594371995	160.11684182818047
565.18633	933.3458	5.0164462	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	2.0757812026619648e-16	4.264700104486518e-17	1.659916422145692e-16	2.6159087489839887e-16	2.9305739043510935e-16	1.4675655807569503e-16	1.1483431682270384e-16	3.9216112957630886e-16	147.85317716490414	185.17384589132743	214.07150311753986	249.54349564590342	nan
1118.4197	919.0613	2.101	['SII-NII' 'NII-OIII' 'SII-OIII' 'NII-SII-OIII' 'SII-Ha']	1.4530855117282153e-17	4.750831288834797e-18	5.0999928665353145e-18	6.063880472355199e-18	5.2860380275263785e-18	3.3702953326080885e-18	2.6935851397471104e-18	7.073626912395104e-18	173.26632913683218	220.637601455639	272.3931581773022	324.56080816314216	114.09742414316669
789.8389	909.1078	4.8376418	['SII-NII' 'NII-OIII' '' 'NII-SII-OIII' '']	4.591009206818105e-17	1.5481660697482433e-17	1.288094547464689e-17	1.3014749964944905e-17	2.2132451912087326e-17	6.467487992484343e-18	6.547261972460562e-18	2.961702255401531e-17	558.6503872438883	747.7467971569463	1118.3750711000425	1428.4495221687664	158.1192049630201
