x_coord	y_coord	[SII]/Hα	[NII]/Hα	[OIII]/Hβ
650.216	321.393	1.159	1.318	1.195
552.545	1038.708	1.326	1.571	0.441
414.774	962.816	1.864	1.720	1.265
662.330	953.887	1.057	1.298	0.976
606.266	953.429	1.079	13.445	4.681
780.627	935.391	0.292	0.724	0.332
565.186	933.346	1.260	1.412	0.800
570.661	851.470	1.199	1.535	0.566
592.561	839.949	0.756	1.118	6.188
549.703	827.566	2.727	3.223	1.503
1310.455	819.026	1.398	1.462	2.036
582.817	814.663	0.741	1.193	0.495
215.560	778.701	0.056	1.935	0.868
604.206	746.309	1.311	1.527	0.670
736.482	731.347	0.622	1.163	1.132
556.762	739.816	0.256	0.677	0.265
556.750	731.715	12.707	11.476	5.137
820.143	724.605	0.891	1.130	2.177
865.810	718.745	0.829	1.732	1.930
563.895	693.787	1.321	1.554	1.410
735.298	663.737	1.680	1.922	2.361
135.984	682.106	0.326	3.246	0.240
317.580	644.101	2.903	2.225	1.941
542.202	623.861	1.362	1.446	0.644
826.375	579.421	1.467	1.826	1.133
575.535	563.088	1.673	1.551	0.574
716.860	552.129	0.099	0.246	1.227
854.537	542.072	1.362	1.413	0.506
702.042	537.396	0.484	1.152	2.219
647.083	508.144	1.333	1.403	0.535
794.993	495.699	1.213	1.410	0.756
893.597	471.389	1.092	1.242	0.991
891.807	1061.446	0.196	0.419	0.525
927.169	1254.673	0.222	0.640	0.154
668.670	1271.286	0.197	0.540	0.351
907.094	968.577	0.284	0.734	0.114
1057.312	714.465	0.203	0.402	0.294
915.592	513.439	0.258	0.702	0.367
395.793	497.759	0.325	0.054	0.407
